업종,구분,연료명,단위명,합계,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
061.ironmine,석유류,경질중유,천tCO₂, , , , , , , , , , , , , , , , , , 
061.ironmine,석유류,중유,천tCO₂, , , , , , , , , , , , , , , , , , 
061.ironmine,석유류,중질중유,천tCO₂, , , , , , , , , , , , , , , , , , 
061.ironmine,석유류,납사,천tCO₂, , , , , , , , , , , , , , , , , , 
061.ironmine,석유류,부생.정제가스,천tCO₂, , , , , , , , , , , , , , , , , , 
061.ironmine,석유류,프로판,천tCO₂, , , , , , , , , , , , , , , , , , 
061.ironmine,석유류,부탄,천tCO₂, , , , , , , , , , , , , , , , , , 
061.ironmine,석유류,기타석유,천tCO₂, , , , , , , , , , , , , , , , , , 
061.ironmine,가스류,도시가스,천tCO₂, , , , , , , , , , , , , , , , , , 
061.ironmine,기타,기타연료,천tCO₂, , , , , , , , , , , , , , , , , , 
061.ironmine,열에너지,열에너지,천tCO₂, , , , , , , , , , , , , , , , , , 
061.ironmine,전력,전력,천tCO₂,5.9, , , , , , , ,0.3,5.6, , , , , , , , 
062.non-ferrous metals mine,합계,합계,천tCO₂,18.6, , , , , , , , ,1.4,5.7, ,0.5,1.9,9.1, , , 
062.non-ferrous metals mine,석탄류,소계,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석탄류,연탄,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석탄류,국내무연탄,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석탄류,수입무연탄 연료,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석탄류,수입무연탄 원료,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석탄류,유연탄(연료용),천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석탄류,유연탄(원료용),천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석탄류,석탄코크스,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석탄류,"고로,전로가스등",천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석탄류,기타석탄,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석유류,소계,천tCO₂,0.9, , , , , , , , , , , , , ,0.9, , , 
062.non-ferrous metals mine,석유류,휘발유,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석유류,실내등유,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석유류,경유,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석유류,경질중유,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석유류,중유,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석유류,중질중유,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석유류,납사,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석유류,부생.정제가스,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석유류,프로판,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석유류,부탄,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,석유류,기타석유,천tCO₂,0.9, , , , , , , , , , , , , ,0.9, , , 
062.non-ferrous metals mine,가스류,도시가스,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,기타,기타연료,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,열에너지,열에너지,천tCO₂, , , , , , , , , , , , , , , , , , 
062.non-ferrous metals mine,전력,전력,천tCO₂,17.7, , , , , , , , ,1.4,5.7, ,0.5,1.9,8.2, , , 
071.soil stone mine,합계,합계,천tCO₂,627.5,1.1,0.3,0.6,12.7,0.7,0.6,20,80.6,211.7,107.1,44.1,24.2,19.8,60.2,33.7,5.3,4.8
071.soil stone mine,석탄류,소계,천tCO₂,138.7, , , , , , , , ,91.5,47.2, , , , , , , 
071.soil stone mine,석탄류,연탄,천tCO₂, , , , , , , , , , , , , , , , , , 
071.soil stone mine,석탄류,국내무연탄,천tCO₂,13.9, , , , , , , , , ,13.9, , , , , , , 
071.soil stone mine,석탄류,수입무연탄 연료,천tCO₂,124.8, , , , , , , , ,91.5,33.3, , , , , , , 
071.soil stone mine,석탄류,수입무연탄 원료,천tCO₂, , , , , , , , , , , , , , , , , , 
071.soil stone mine,석탄류,유연탄(연료용),천tCO₂, , , , , , , , , , , , , , , , , , 
071.soil stone mine,석탄류,유연탄(원료용),천tCO₂, , , , , , , , , , , , , , , , , , 
071.soil stone mine,석탄류,석탄코크스,천tCO₂, , , , , , , , , , , , , , , , , , 
071.soil stone mine,석탄류,"고로,전로가스등",천tCO₂, , , , , , , , , , , , , , , , , , 
071.soil stone mine,석탄류,기타석탄,천tCO₂, , , , , , , , , , , , , , , , , , 
071.soil stone mine,석유류,소계,천tCO₂,63.9, , , , , , , ,12.5,39.7,1.8,1.1,1.1,0,7.5,0.1, ,0.1
071.soil stone mine,석유류,휘발유,천tCO₂, , , , , , , , , , , , , , , , , , 
071.soil stone mine,석유류,실내등유,천tCO₂,5.7, , , , , , , , ,0,1,0, , ,4.7, , , 
071.soil stone mine,석유류,경유,천tCO₂,11.6, , , , , , , ,1.1,6.8,0,0.3,1.1,0,2.2,0, ,0.1
071.soil stone mine,석유류,경질중유,천tCO₂,1.7, , , , , , , ,1.7, , , , , , , , , 
071.soil stone mine,석유류,중유,천tCO₂, , , , , , , , , , , , , , , , , , 
071.soil stone mine,석유류,중질중유,천tCO₂,1.7, , , , , , , ,0, ,0.8,0.2, , ,0.7, , , 
071.soil stone mine,석유류,납사,천tCO₂, , , , , , , , , , , , , , , , , , 
071.soil stone mine,석유류,부생.정제가스,천tCO₂,0.1, , , , , , , , , , ,0.1, , , , , , 
071.soil stone mine,석유류,프로판,천tCO₂,0.7, , , , , , , , ,0, ,0.6, , , ,0, , 
071.soil stone mine,석유류,부탄,천tCO₂, , , , , , , , , , , , , , , , , , 
071.soil stone mine,석유류,기타석유,천tCO₂,42.7, , , , , , , ,9.8,32.9, ,0, , , , , , 
071.soil stone mine,가스류,도시가스,천tCO₂,3.9, , , , , , ,2.4,0,0.8,0.6, , , ,0.1,0, , 
071.soil stone mine,기타,기타연료,천tCO₂, , , , , , , , , , , , , , , , , , 
071.soil stone mine,열에너지,열에너지,천tCO₂, , , , , , , , , , , , , , , , , , 
071.soil stone mine,전력,전력,천tCO₂,421.1,1.1,0.3,0.6,12.7,0.7,0.6,17.6,68.1,79.7,57.5,42.9,23.2,19.8,52.6,33.6,5.3,4.7
072.Other non-metallic minerals mine,합계,합계,천tCO₂,20.7, ,0.5, ,0.1, , , , ,1.6,7.5,0.7,0.1,6.5,3.5,0,0.2, 
072.Other non-metallic minerals mine,석탄류,소계,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석탄류,연탄,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석탄류,국내무연탄,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석탄류,수입무연탄 연료,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석탄류,수입무연탄 원료,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석탄류,유연탄(연료용),천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석탄류,유연탄(원료용),천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석탄류,석탄코크스,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석탄류,"고로,전로가스등",천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석탄류,기타석탄,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석유류,소계,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석유류,휘발유,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석유류,실내등유,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석유류,경유,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석유류,경질중유,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석유류,중유,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석유류,중질중유,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석유류,납사,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석유류,부생.정제가스,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석유류,프로판,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석유류,부탄,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,석유류,기타석유,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,가스류,도시가스,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,기타,기타연료,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,열에너지,열에너지,천tCO₂, , , , , , , , , , , , , , , , , , 
072.Other non-metallic minerals mine,전력,전력,천tCO₂,20.7, ,0.5, ,0.1, , , , ,1.6,7.5,0.7,0.1,6.5,3.5,0,0.2, 
080.mineSupport service industry,합계,합계,천tCO₂,0,0, , , , , , , ,0, , , , , , , , 
080.mineSupport service industry,석탄류,소계,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석탄류,연탄,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석탄류,국내무연탄,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석탄류,수입무연탄 연료,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석탄류,수입무연탄 원료,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석탄류,유연탄(연료용),천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석탄류,유연탄(원료용),천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석탄류,석탄코크스,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석탄류,"고로,전로가스등",천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석탄류,기타석탄,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석유류,소계,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석유류,휘발유,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석유류,실내등유,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석유류,경유,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석유류,경질중유,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석유류,중유,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석유류,중질중유,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석유류,납사,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석유류,부생.정제가스,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석유류,프로판,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석유류,부탄,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,석유류,기타석유,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,가스류,도시가스,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,기타,기타연료,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,열에너지,열에너지,천tCO₂, , , , , , , , , , , , , , , , , , 
080.mineSupport service industry,전력,전력,천tCO₂,0,0, , , , , , , ,0, , , , , , , , 
